球員,位置,攻擊得分,攔網得分,發球得分,接發,防守,舉球,總得分,match_id,隊伍類型,球員名稱
彭浩銘 #2,MiddleBlocker,4,6,0,0,0,0,10,6069,客隊,彭浩銘
思丹 #10,OppositeHitter,7,1,0,0,2,0,8,6069,客隊,思丹
阿巴西 #77,OutsideHitter,5,1,1,5,0,0,7,6069,客隊,阿巴西
禹良聖 #30,Setter,1,2,1,0,3,28,4,6069,客隊,禹良聖
周冠宇 #11,OppositeHitter,3,0,0,0,0,0,3,6069,客隊,周冠宇
馬亞拉 #17,MiddleBlocker,2,1,0,1,0,0,3,6069,客隊,馬亞拉
張庭輔 #12,OutsideHitter,2,0,0,1,0,0,2,6069,客隊,張庭輔
柯宗甫 #13,MiddleBlocker,1,0,0,0,0,0,1,6069,客隊,柯宗甫
呂慶鴻 #1,Libero,0,0,0,14,10,1,0,6069,客隊,呂慶鴻
陳玠廷 #7,Setter,0,0,0,0,0,1,0,6069,客隊,陳玠廷
鄭博升 #9,Libero,0,0,0,0,0,0,0,6069,客隊,鄭博升
許睿恩 #15,MiddleBlocker,0,0,0,0,0,0,0,6069,客隊,許睿恩
林聖恩 #27,Libero,0,0,0,0,0,0,0,6069,客隊,林聖恩
盧清銓 #22,Setter,0,0,0,0,0,0,0,6069,客隊,盧清銓
馬可 #3,OutsideHitter,0,0,0,0,0,0,0,6069,客隊,馬可
施琅 #9,OutsideHitter,32,2,0,22,3,0,34,6069,主隊,施琅
吳宗軒 #11,OppositeHitter,21,3,0,0,10,0,24,6069,主隊,吳宗軒
漢佳 #2,OutsideHitter,7,1,0,7,6,1,8,6069,主隊,漢佳
汪秉勳 #15,MiddleBlocker,3,1,0,0,1,0,4,6069,主隊,汪秉勳
薩蘭迪 #17,Setter,1,1,2,0,3,36,4,6069,主隊,薩蘭迪
蔡秉諺 #14,MiddleBlocker,2,0,1,1,1,1,3,6069,主隊,蔡秉諺
黃謙巽 #18,OutsideHitter,1,0,0,0,0,0,1,6069,主隊,黃謙巽
林冠洲 #13,OutsideHitter,1,0,0,0,0,0,1,6069,主隊,林冠洲
莊哲育 #4,Setter,0,0,0,0,0,1,0,6069,主隊,莊哲育
張昀亮 #16,Libero,0,0,0,7,6,2,0,6069,主隊,張昀亮
宋柏霆 #12,OutsideHitter,0,0,0,0,0,0,0,6069,主隊,宋柏霆
